epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.8745,2.75545,5.73412,2.04953,0,0,0,0,2.52855,5.26858,1.23309,0,0,0
2,35.8023,2.19891,5.6472,1.65691,0,0,0,0,2.47748,5.26646,1.21116,2.80337e-06,2.80337e-06,2.80337e-06
3,43.3827,2.51823,5.5463,1.79971,0,0,0,0,2.41943,5.26431,1.1916,5.49349e-06,5.49349e-06,5.49349e-06
4,47.6869,2.35195,5.72082,1.8095,0,0,0,0,2.41299,5.25296,1.18719,8.07035e-06,8.07035e-06,8.07035e-06
5,53.6284,2.264,5.80129,1.73601,0,0,0,0,2.47566,5.23893,1.19448,1.0534e-05,1.0534e-05,1.0534e-05
6,70.307,2.29857,5.58231,1.69708,0,0,0,0,2.49281,5.23779,1.19077,1.28843e-05,1.28843e-05,1.28843e-05
7,80.3728,2.37848,5.58387,1.6535,0,0,0,0,2.5023,5.22339,1.18046,1.51214e-05,1.51214e-05,1.51214e-05
8,85.0741,2.2648,5.52414,1.73848,0,0,0,0,2.44913,5.22579,1.16211,1.72452e-05,1.72452e-05,1.72452e-05
9,89.561,2.17594,5.39723,1.6904,0,0,0,0,2.44135,5.21569,1.15611,1.92558e-05,1.92558e-05,1.92558e-05
10,93.9224,2.21813,5.42124,1.66178,0,0,0,0,2.44395,5.19868,1.15668,2.11531e-05,2.11531e-05,2.11531e-05
11,145.837,2.38929,5.65191,1.71162,0,0,0,0,2.43777,5.18711,1.1527,2.29372e-05,2.29372e-05,2.29372e-05
12,182.914,1.86509,5.25315,1.49837,0,0,0,0,2.41885,5.17813,1.14801,2.4608e-05,2.4608e-05,2.4608e-05
13,213.256,2.10724,5.329,1.53715,0,0,0,0,2.39168,5.17102,1.14258,2.61656e-05,2.61656e-05,2.61656e-05
14,268.429,1.93581,5.23265,1.41661,0,0,0,0,2.35252,5.16343,1.13186,2.76099e-05,2.76099e-05,2.76099e-05
15,355.781,2.17027,5.38166,1.74397,0,0,0,0,2.32114,5.15817,1.12194,2.89409e-05,2.89409e-05,2.89409e-05
16,375.173,2.12579,5.40233,1.50938,0,0,0,0,2.28897,5.1523,1.11206,3.01587e-05,3.01587e-05,3.01587e-05
17,391.991,1.83722,5.10275,1.33861,0,0,0,0,2.24464,5.14308,1.10075,3.12632e-05,3.12632e-05,3.12632e-05
